Unnamed: 0,day,lat,lon,air_temperature_tmmn,potential_evapotranspiration,mean_vapor_pressure_deficit,relative_humidity_rmax,relative_humidity_rmin,precipitation_amount,air_temperature_tmmx,wind_speed
89,2018-03-31,39.955,-120.538,275.0,2.7,0.84,58.7,22.9,0.0,287.1,4.1
90,2018-04-01,39.955,-120.538,273.6,3.7,0.68,74.6,28.800001,0.0,284.8,4.1
91,2018-04-02,39.955,-120.538,271.8,3.1000001,0.47,83.6,36.2,0.0,279.2,4.8
92,2018-04-03,39.955,-120.538,269.6,3.6000001,0.71999997,80.700005,19.0,0.0,281.1,3.9
93,2018-04-04,39.955,-120.538,276.4,4.2000003,0.84,75.5,22.7,0.0,280.4,2.7
94,2018-04-05,39.955,-120.538,275.6,2.6000001,0.53,72.4,37.7,6.9,278.2,5.3
95,2018-04-06,39.955,-120.538,276.7,1.5,0.22999999,67.3,67.3,39.3,279.9,3.1000001
96,2018-04-07,39.955,-120.538,274.5,2.5,0.16,74.5,68.9,11.0,283.7,9.6
97,2018-04-08,39.955,-120.538,271.8,3.7,0.5,99.4,33.7,0.0,283.6,4.4
98,2018-04-09,39.955,-120.538,273.4,5.9,0.88,79.700005,22.9,0.0,279.5,4.2000003
99,2018-04-10,39.955,-120.538,276.5,4.9,0.53,72.5,40.8,1.5,283.8,6.4
100,2018-04-11,39.955,-120.538,269.3,4.4,0.29999998,70.200005,44.100002,6.8,280.2,7.7000003
101,2018-04-12,39.955,-120.538,267.1,5.1,0.19999999,78.8,49.8,0.7,284.0,6.7000003
102,2018-04-13,39.955,-120.538,268.0,4.6,0.55,81.1,25.6,0.0,287.9,2.3
103,2018-04-14,39.955,-120.538,273.7,4.6,0.7,69.200005,25.800001,0.0,284.2,3.2
104,2018-04-15,39.955,-120.538,270.4,5.2000003,0.37,77.5,40.9,14.8,280.3,8.5
105,2018-04-16,39.955,-120.538,268.3,5.6,0.22999999,80.200005,49.0,9.7,283.6,6.0
106,2018-04-17,39.955,-120.538,266.6,5.1,0.32999998,74.3,35.0,0.0,290.4,2.2
107,2018-04-18,39.955,-120.538,269.6,4.9,0.28,68.1,44.8,1.6,293.8,3.5
108,2018-04-19,39.955,-120.538,270.6,4.6,0.32999998,67.8,42.7,0.0,292.0,4.2000003
109,2018-04-20,39.955,-120.538,272.1,4.1,0.76,86.6,23.800001,0.0,284.7,1.3000001
110,2018-04-21,39.955,-120.538,275.5,3.7,1.02,78.9,21.1,0.0,285.3,1.8000001
111,2018-04-22,39.955,-120.538,275.4,5.2000003,0.93,63.0,22.0,0.0,290.5,3.6000001
112,2018-04-23,39.955,-120.538,275.6,5.6,0.93,66.6,21.5,0.0,293.7,4.7000003
113,2018-04-24,39.955,-120.538,276.4,5.4,1.03,77.4,19.800001,0.0,295.2,4.3
114,2018-04-25,39.955,-120.538,278.3,5.5,1.3199999,77.4,17.0,0.0,295.0,2.5
115,2018-04-26,39.955,-120.538,277.6,5.4,1.3199999,77.200005,17.9,0.0,293.1,3.4
116,2018-04-27,39.955,-120.538,274.1,6.6,0.52,74.6,35.600002,0.0,292.5,6.5
117,2018-04-28,39.955,-120.538,273.1,6.2000003,0.39,67.3,42.5,0.0,290.1,6.2000003
118,2018-04-29,39.955,-120.538,271.4,6.2000003,0.22999999,66.1,55.0,2.2,290.0,4.4
119,2018-04-30,39.955,-120.538,269.7,6.7000003,0.35,97.0,39.8,2.8,282.0,1.8000001
120,2018-05-01,39.955,-120.538,272.3,5.6,0.48999998,62.0,35.100002,0.0,286.4,3.2
121,2018-05-02,39.955,-120.538,273.1,5.8,0.72999996,53.600002,25.0,0.0,289.2,2.8
122,2018-05-03,39.955,-120.538,273.9,5.6,0.93,57.2,22.7,0.0,291.4,2.7
123,2018-05-04,39.955,-120.538,277.7,4.0,1.01,59.600002,24.7,0.0,292.7,3.1000001
124,2018-05-05,39.955,-120.538,277.7,5.8,0.93,71.1,25.9,0.0,293.1,3.2
125,2018-05-06,39.955,-120.538,277.6,6.5,0.90999997,75.6,26.300001,0.0,292.6,4.9
126,2018-05-07,39.955,-120.538,276.1,7.0,1.1899999,74.200005,19.0,0.0,292.2,1.9
127,2018-05-08,39.955,-120.538,278.4,8.400001,1.24,62.2,20.9,0.0,292.1,3.6000001
128,2018-05-09,39.955,-120.538,276.9,7.2000003,0.79999995,58.0,31.4,0.0,290.7,4.6
129,2018-05-10,39.955,-120.538,273.7,8.1,0.84,51.2,25.300001,0.0,290.5,3.5
130,2018-05-11,39.955,-120.538,274.2,7.8,0.59,50.100002,31.300001,0.0,295.1,5.7000003
131,2018-05-12,39.955,-120.538,275.7,6.3,0.53,65.6,39.100002,0.0,295.6,3.8
132,2018-05-13,39.955,-120.538,277.9,3.2,0.7,64.3,36.100002,1.7,292.8,3.6000001
133,2018-05-14,39.955,-120.538,277.7,4.1,0.78,62.2,31.800001,0.0,288.8,2.0
134,2018-05-15,39.955,-120.538,276.6,3.3,0.57,74.700005,40.100002,14.8,281.5,2.4
135,2018-05-16,39.955,-120.538,276.5,4.8,0.42,80.3,48.3,4.0,277.4,3.5
136,2018-05-17,39.955,-120.538,278.5,5.7000003,0.53,72.8,45.8,4.5,281.5,2.5
137,2018-05-18,39.955,-120.538,277.8,3.6000001,0.78,76.700005,33.3,1.3000001,281.0,1.9
138,2018-05-19,39.955,-120.538,277.7,3.1000001,0.78999996,75.5,33.100002,0.0,279.6,2.9
139,2018-05-20,39.955,-120.538,277.6,4.1,0.74,77.6,34.5,0.0,281.7,2.9
140,2018-05-21,39.955,-120.538,277.8,5.0,0.76,67.1,34.100002,0.0,278.3,3.4
141,2018-05-22,39.955,-120.538,279.0,6.0,0.78,76.0,36.0,1.9,284.1,2.1000001
142,2018-05-23,39.955,-120.538,278.7,5.2000003,0.53999996,73.0,45.8,3.0,284.1,4.0
143,2018-05-24,39.955,-120.538,278.9,6.8,0.69,86.8,39.9,12.2,287.0,2.3
144,2018-05-25,39.955,-120.538,276.4,7.0,0.14999999,85.1,72.700005,12.0,285.9,5.6
145,2018-05-26,39.955,-120.538,276.1,7.4,0.32999998,69.6,54.3,1.0,281.3,3.7
146,2018-05-27,39.955,-120.538,276.8,7.1,0.76,80.200005,32.7,0.0,284.7,3.9
147,2018-05-28,39.955,-120.538,279.5,7.3,1.1,76.1,26.1,0.0,288.8,3.3
148,2018-05-29,39.955,-120.538,280.9,9.1,1.27,73.0,24.300001,0.0,291.0,3.2
149,2018-05-30,39.955,-120.538,277.9,8.1,0.90999997,86.8,28.1,0.0,288.4,5.7000003
150,2018-05-31,39.955,-120.538,273.9,5.2000003,0.65,82.5,29.2,0.0,291.3,6.1
151,2018-06-01,39.955,-120.538,272.8,5.7000003,0.95,71.5,21.1,0.0,293.0,3.1000001
152,2018-06-02,39.955,-120.538,279.8,5.6,1.52,71.700005,16.5,0.0,294.2,3.9
153,2018-06-03,39.955,-120.538,281.5,7.3,1.55,79.3,18.800001,0.0,296.6,4.0
154,2018-06-04,39.955,-120.538,280.7,8.7,1.27,67.700005,22.800001,0.0,298.6,5.5
155,2018-06-05,39.955,-120.538,279.3,8.900001,1.3199999,61.7,18.300001,0.0,298.0,3.0
156,2018-06-06,39.955,-120.538,279.3,9.900001,1.1899999,76.5,21.4,0.0,291.8,4.2000003
157,2018-06-07,39.955,-120.538,277.4,5.3,1.0,66.4,25.6,0.0,286.8,4.7000003
158,2018-06-08,39.955,-120.538,276.6,4.1,1.0699999,55.100002,22.4,0.0,288.2,4.2000003
159,2018-06-09,39.955,-120.538,273.1,5.4,0.44,48.5,41.4,0.0,294.5,8.1
160,2018-06-10,39.955,-120.538,271.7,5.8,0.82,53.0,22.2,0.0,299.3,3.2
161,2018-06-11,39.955,-120.538,277.5,7.3,1.3,49.5,19.300001,0.0,301.2,3.3
162,2018-06-12,39.955,-120.538,280.4,9.0,1.63,57.5,17.5,0.0,298.9,3.8
163,2018-06-13,39.955,-120.538,281.3,6.9,1.56,68.5,19.1,0.0,298.1,4.0
164,2018-06-14,39.955,-120.538,281.5,4.4,1.4,61.2,22.1,0.0,298.4,3.0
165,2018-06-15,39.955,-120.538,279.0,6.0,1.09,57.3,25.4,0.0,298.3,5.3
166,2018-06-16,39.955,-120.538,277.5,6.5,0.96999997,57.4,25.2,1.3000001,298.4,4.1
167,2018-06-17,39.955,-120.538,278.4,6.6,0.55,53.9,43.600002,9.3,299.4,3.8
168,2018-06-18,39.955,-120.538,277.0,7.5,0.74,51.9,33.8,0.0,300.9,3.1000001
169,2018-06-19,39.955,-120.538,279.4,8.900001,1.16,48.8,25.300001,0.0,299.6,1.9
170,2018-06-20,39.955,-120.538,280.9,7.8,1.3199999,61.5,23.7,0.0,294.8,4.4
171,2018-06-21,39.955,-120.538,280.0,8.400001,1.51,56.100002,18.4,0.0,291.7,2.4
172,2018-06-22,39.955,-120.538,280.8,6.8,1.74,54.5,15.3,0.0,292.7,2.3
173,2018-06-23,39.955,-120.538,280.8,9.6,1.66,55.2,17.1,0.0,296.9,3.9
174,2018-06-24,39.955,-120.538,282.6,9.6,1.8499999,58.9,16.9,0.0,294.7,3.8
175,2018-06-25,39.955,-120.538,282.4,8.5,1.56,61.8,20.9,0.0,292.8,4.4
176,2018-06-26,39.955,-120.538,282.5,8.1,1.7099999,64.6,17.6,0.0,290.1,3.9
177,2018-06-27,39.955,-120.538,281.3,9.400001,1.65,48.3,15.1,0.0,288.7,5.2000003
178,2018-06-28,39.955,-120.538,280.3,10.8,1.22,58.600002,22.9,0.0,290.6,4.1
179,2018-06-29,39.955,-120.538,279.9,7.1,1.27,56.8,22.800001,0.0,293.7,3.0
180,2018-06-30,39.955,-120.538,281.4,6.6,1.5,56.3,19.6,0.0,294.0,4.6
181,2018-07-01,39.955,-120.538,282.6,7.0,1.8299999,65.0,16.4,0.0,294.4,2.7
182,2018-07-02,39.955,-120.538,282.7,7.3,1.66,67.0,19.300001,0.0,294.0,3.3
183,2018-07-03,39.955,-120.538,281.1,7.1,1.35,60.2,21.300001,0.0,293.9,3.1000001
184,2018-07-04,39.955,-120.538,281.3,8.3,1.1999999,62.4,25.4,0.0,295.6,4.6
185,2018-07-05,39.955,-120.538,282.2,8.400001,1.3399999,59.7,20.9,0.0,298.0,4.6
186,2018-07-06,39.955,-120.538,284.5,8.3,1.36,66.4,23.0,0.0,297.3,4.0
187,2018-07-07,39.955,-120.538,283.8,8.900001,1.61,62.9,20.2,0.0,294.4,4.0
188,2018-07-08,39.955,-120.538,283.9,7.7000003,1.76,64.1,16.7,0.0,294.1,4.8
189,2018-07-09,39.955,-120.538,282.9,8.3,1.73,60.8,16.4,0.0,295.3,4.7000003
190,2018-07-10,39.955,-120.538,282.1,8.7,1.63,64.1,18.800001,0.0,296.7,2.5
191,2018-07-11,39.955,-120.538,282.9,8.3,1.8299999,63.0,17.300001,0.0,299.4,2.5
192,2018-07-12,39.955,-120.538,284.8,9.7,1.99,63.600002,18.0,0.0,300.2,2.4
193,2018-07-13,39.955,-120.538,286.8,9.400001,1.62,59.100002,25.1,0.0,299.6,2.4
194,2018-07-14,39.955,-120.538,287.2,8.6,1.9,56.4,22.9,0.0,297.7,1.9
195,2018-07-15,39.955,-120.538,287.0,7.5,1.81,59.100002,23.6,0.0,297.8,3.0
196,2018-07-16,39.955,-120.538,285.5,10.0,1.81,68.700005,21.2,0.0,297.1,3.2
197,2018-07-17,39.955,-120.538,285.7,9.8,2.06,70.3,17.800001,0.0,298.6,2.3
198,2018-07-18,39.955,-120.538,285.7,9.400001,2.2,68.700005,14.900001,0.0,298.3,2.1000001
199,2018-07-19,39.955,-120.538,286.0,8.1,2.3,67.200005,13.0,0.0,298.3,2.7
200,2018-07-20,39.955,-120.538,285.6,8.2,2.1299999,69.8,14.400001,0.0,299.1,3.5
201,2018-07-21,39.955,-120.538,286.8,8.5,1.73,64.6,23.2,0.0,299.3,4.2000003
202,2018-07-22,39.955,-120.538,286.1,8.2,1.5799999,60.5,26.5,4.0,299.7,1.9
203,2018-07-23,39.955,-120.538,286.2,7.1,1.66,49.9,26.1,0.0,298.6,2.1000001
204,2018-07-24,39.955,-120.538,286.8,8.3,1.8199999,50.100002,23.9,0.0,300.3,2.9
205,2018-07-25,39.955,-120.538,285.7,7.9,2.03,53.8,19.0,0.0,301.0,3.9
206,2018-07-26,39.955,-120.538,287.0,7.9,2.3999999,56.9,13.8,0.0,298.9,2.1000001
207,2018-07-27,39.955,-120.538,286.0,7.7000003,2.25,58.2,13.5,0.0,301.6,3.6000001
208,2018-07-28,39.955,-120.538,284.5,7.1,2.18,51.9,12.2,0.0,301.6,2.6000001
209,2018-07-29,39.955,-120.538,284.7,7.7000003,2.21,56.7,12.900001,0.0,299.2,2.4
210,2018-07-30,39.955,-120.538,287.1,9.1,2.24,49.5,14.5,0.0,298.4,2.8
211,2018-07-31,39.955,-120.538,286.8,9.3,2.28,38.3,13.900001,0.0,298.9,3.4
212,2018-08-01,39.955,-120.538,284.7,9.8,2.07,56.100002,13.7,0.0,298.1,4.4
213,2018-08-02,39.955,-120.538,282.5,9.400001,1.88,58.0,12.3,0.0,299.7,4.4
214,2018-08-03,39.955,-120.538,281.5,9.8,1.75,57.100002,12.6,0.0,301.4,4.1
215,2018-08-04,39.955,-120.538,280.5,8.0,1.42,66.1,16.2,0.0,299.3,5.8
216,2018-08-05,39.955,-120.538,278.7,8.0,1.5,65.1,12.8,0.0,299.6,2.2
217,2018-08-06,39.955,-120.538,279.3,9.6,1.8299999,43.9,11.2,0.0,299.6,2.2
218,2018-08-07,39.955,-120.538,282.1,7.6,2.23,51.5,9.8,0.0,299.5,2.6000001
219,2018-08-08,39.955,-120.538,283.5,7.3,2.1299999,56.2,12.0,0.0,297.4,2.7
220,2018-08-09,39.955,-120.538,283.1,7.7000003,2.26,63.3,11.900001,0.0,292.6,3.2
221,2018-08-10,39.955,-120.538,285.2,7.9,2.23,76.3,11.1,0.0,288.9,3.8
222,2018-08-11,39.955,-120.538,284.4,8.3,2.06,82.8,12.6,0.0,294.6,4.3
223,2018-08-12,39.955,-120.538,283.5,7.6,1.92,66.9,14.1,0.0,297.9,2.8
224,2018-08-13,39.955,-120.538,284.3,9.400001,2.02,64.1,11.5,0.0,299.9,3.7
225,2018-08-14,39.955,-120.538,284.1,9.2,2.03,55.0,12.3,0.0,302.4,2.5
226,2018-08-15,39.955,-120.538,284.6,7.4,1.8399999,51.8,15.900001,0.0,302.7,3.9
227,2018-08-16,39.955,-120.538,283.7,9.5,1.61,50.5,19.9,0.0,300.6,4.3
228,2018-08-17,39.955,-120.538,282.2,8.400001,1.61,54.7,18.5,0.0,299.8,2.9
229,2018-08-18,39.955,-120.538,280.7,7.4,1.89,58.5,11.7,0.0,298.7,2.6000001
230,2018-08-19,39.955,-120.538,281.1,9.2,2.05,61.100002,8.3,0.0,298.2,4.0
231,2018-08-20,39.955,-120.538,280.7,8.900001,1.8499999,60.5,9.0,0.0,298.5,3.4
232,2018-08-21,39.955,-120.538,279.5,9.2,1.5799999,64.700005,12.7,0.0,299.1,3.5
233,2018-08-22,39.955,-120.538,279.4,9.5,1.5699999,68.0,12.7,0.0,298.3,3.2
234,2018-08-23,39.955,-120.538,278.6,8.0,1.49,56.4,13.7,0.0,300.4,4.6
235,2018-08-24,39.955,-120.538,278.1,8.900001,1.35,62.4,14.900001,0.0,300.7,4.3
236,2018-08-25,39.955,-120.538,276.8,8.3,1.41,61.8,12.400001,0.0,299.8,3.2
237,2018-08-26,39.955,-120.538,278.5,6.5,1.41,53.5,12.1,0.0,302.9,5.1
238,2018-08-27,39.955,-120.538,279.9,6.5,1.3199999,42.600002,17.2,0.0,303.9,2.9
239,2018-08-28,39.955,-120.538,280.0,6.2000003,1.31,48.8,19.800001,0.0,301.6,3.3
240,2018-08-29,39.955,-120.538,281.0,7.6,1.3299999,72.9,20.300001,0.0,297.8,2.3
241,2018-08-30,39.955,-120.538,279.2,7.2000003,1.15,59.5,21.6,0.0,298.1,4.1
242,2018-08-31,39.955,-120.538,278.0,7.0,1.3,55.600002,15.6,0.0,298.9,2.7
243,2018-09-01,39.955,-120.538,280.4,7.9,1.62,56.5,12.8,0.0,298.7,2.6000001
244,2018-09-02,39.955,-120.538,281.3,9.6,1.93,51.5,9.0,0.0,299.2,2.9
245,2018-09-03,39.955,-120.538,282.5,7.3,1.9799999,46.600002,9.5,0.0,299.3,2.2
246,2018-09-04,39.955,-120.538,282.6,8.0,1.93,55.4,10.3,0.0,299.6,2.5
247,2018-09-05,39.955,-120.538,283.0,9.2,1.8,62.600002,13.1,0.0,297.8,3.4
248,2018-09-06,39.955,-120.538,281.4,6.8,1.67,54.600002,13.6,0.0,297.0,4.5
249,2018-09-07,39.955,-120.538,280.1,7.4,1.79,58.100002,10.2,0.0,294.5,3.1000001
250,2018-09-08,39.955,-120.538,280.3,9.0,1.68,75.5,9.3,0.0,291.2,4.2000003
251,2018-09-09,39.955,-120.538,278.6,9.1,1.74,74.0,7.3,0.0,289.7,2.6000001
252,2018-09-10,39.955,-120.538,278.8,9.900001,1.68,81.3,7.3,0.0,286.1,3.1000001
253,2018-09-11,39.955,-120.538,277.8,6.5,1.36,75.8,10.900001,0.0,292.0,5.2000003
254,2018-09-12,39.955,-120.538,278.3,5.5,1.04,48.9,15.3,0.0,295.5,5.6
255,2018-09-13,39.955,-120.538,275.8,6.8,0.95,53.0,16.1,0.0,297.9,4.1
256,2018-09-14,39.955,-120.538,274.1,7.6,1.02,55.0,13.7,0.0,298.2,3.6000001
257,2018-09-15,39.955,-120.538,275.5,8.7,0.87,44.3,19.300001,0.0,294.7,5.2000003
258,2018-09-16,39.955,-120.538,275.0,7.3,1.16,96.200005,11.2,0.0,282.3,3.8
259,2018-09-17,39.955,-120.538,275.1,7.3,1.1999999,86.1,11.400001,0.0,288.1,3.0
260,2018-09-18,39.955,-120.538,275.3,8.2,1.12,86.3,14.1,0.0,283.2,3.2
261,2018-09-19,39.955,-120.538,274.7,5.7000003,1.15,86.4,12.3,0.0,283.2,3.5
262,2018-09-20,39.955,-120.538,275.0,4.7000003,1.31,73.6,10.0,0.0,287.8,3.7
263,2018-09-21,39.955,-120.538,277.4,6.3,1.53,74.9,9.2,0.0,290.9,3.3
264,2018-09-22,39.955,-120.538,279.5,6.9,1.4499999,71.5,10.400001,0.0,289.8,4.7000003
265,2018-09-23,39.955,-120.538,276.4,7.8,1.24,74.5,13.1,0.0,290.2,3.8
