Unnamed: 0,day,lat,lon,air_temperature_tmmn,potential_evapotranspiration,mean_vapor_pressure_deficit,relative_humidity_rmax,relative_humidity_rmin,precipitation_amount,air_temperature_tmmx,wind_speed
0,2018-01-01,39.955,-120.538,271.0,1.8000001,0.68,73.0,24.6,0.0,272.3,1.8000001
1,2018-01-02,39.955,-120.538,270.1,1.2,0.45,67.9,35.2,0.0,278.4,3.1000001
2,2018-01-03,39.955,-120.538,271.9,2.4,0.48999998,59.600002,36.2,4.5,281.4,1.9
3,2018-01-04,39.955,-120.538,274.6,1.7,0.25,65.5,62.600002,3.2,281.0,2.8
4,2018-01-05,39.955,-120.538,274.8,1.5,0.22999999,85.200005,65.200005,28.5,277.9,4.0
5,2018-01-06,39.955,-120.538,269.2,1.7,0.19999999,85.0,56.100002,0.0,273.9,2.5
6,2018-01-07,39.955,-120.538,268.9,2.3,0.35,71.6,40.8,0.0,277.4,2.5
7,2018-01-08,39.955,-120.538,273.8,1.8000001,0.22,75.700005,64.8,22.300001,280.6,1.9
8,2018-01-09,39.955,-120.538,274.2,1.2,0.14999999,79.3,72.200005,10.2,277.1,3.2
9,2018-01-10,39.955,-120.538,271.7,2.5,0.21,81.200005,61.2,1.1,280.3,5.6
10,2018-01-11,39.955,-120.538,271.7,1.8000001,0.31,77.9,49.9,0.0,281.4,5.6
11,2018-01-12,39.955,-120.538,271.0,1.8000001,0.42,85.0,39.7,0.0,280.7,3.4
12,2018-01-13,39.955,-120.538,271.6,2.2,0.53999996,85.200005,32.600002,0.0,280.3,4.4
13,2018-01-14,39.955,-120.538,271.9,1.2,0.48999998,80.0,36.5,0.0,276.8,2.5
14,2018-01-15,39.955,-120.538,271.4,1.5,0.5,81.3,35.3,2.1000001,275.0,1.9
15,2018-01-16,39.955,-120.538,272.3,1.6,0.28,86.1,54.100002,3.2,276.8,2.6000001
16,2018-01-17,39.955,-120.538,273.8,1.2,0.44,79.200005,44.0,0.0,274.4,2.9
17,2018-01-18,39.955,-120.538,271.5,1.2,0.26,77.5,54.5,25.2,275.7,7.4
18,2018-01-19,39.955,-120.538,265.9,2.0,0.22,76.9,47.7,2.5,281.2,4.8
19,2018-01-20,39.955,-120.538,263.8,2.0,0.24,91.9,40.8,0.0,278.2,1.7
20,2018-01-21,39.955,-120.538,265.8,2.3,0.26999998,100.0,40.7,2.3,276.4,3.5
21,2018-01-22,39.955,-120.538,269.2,2.3,0.26999998,77.5,48.0,1.7,277.7,3.2
22,2018-01-23,39.955,-120.538,267.4,1.4,0.42,82.3,32.100002,0.0,283.9,3.0
23,2018-01-24,39.955,-120.538,269.2,2.2,0.34,74.0,41.5,18.4,282.5,6.6
24,2018-01-25,39.955,-120.538,266.7,2.1000001,0.14999999,68.1,60.7,5.7000003,285.7,7.3
25,2018-01-26,39.955,-120.538,266.8,2.2,0.21,59.5,50.8,0.5,284.5,4.0
26,2018-01-27,39.955,-120.538,268.4,2.2,0.35,60.100002,38.7,0.0,288.6,2.9
27,2018-01-28,39.955,-120.538,269.3,2.5,0.61,78.1,27.800001,0.0,284.0,2.6000001
28,2018-01-29,39.955,-120.538,271.6,2.1000001,0.53999996,76.200005,34.0,0.0,286.6,2.1000001
29,2018-01-30,39.955,-120.538,272.4,2.3,0.71999997,75.9,26.1,0.0,286.2,4.0
30,2018-01-31,39.955,-120.538,273.1,2.5,0.76,70.1,23.800001,0.0,286.3,2.2
31,2018-02-01,39.955,-120.538,274.3,3.5,0.74,65.4,26.9,0.0,279.7,1.4
32,2018-02-02,39.955,-120.538,273.8,2.4,0.72999996,88.700005,27.800001,0.0,277.8,3.3
33,2018-02-03,39.955,-120.538,273.5,2.0,0.71999997,84.1,27.6,0.0,275.8,2.6000001
34,2018-02-04,39.955,-120.538,273.5,2.4,0.76,99.5,26.7,0.0,272.3,2.7
35,2018-02-05,39.955,-120.538,271.6,2.1000001,0.7,79.3,24.9,0.0,272.6,2.0
36,2018-02-06,39.955,-120.538,270.6,2.5,0.61,97.700005,23.800001,0.0,273.5,3.7
37,2018-02-07,39.955,-120.538,271.8,2.7,0.79999995,100.0,19.4,0.0,275.2,3.9
38,2018-02-08,39.955,-120.538,273.1,4.0,1.05,84.3,16.1,0.0,273.7,2.4
39,2018-02-09,39.955,-120.538,273.2,3.5,0.75,95.0,22.5,0.0,272.1,3.1000001
40,2018-02-10,39.955,-120.538,268.1,4.1,0.45,97.700005,23.800001,0.0,271.1,5.4
41,2018-02-11,39.955,-120.538,265.8,4.0,0.44,94.9,22.800001,0.0,274.0,4.6
42,2018-02-12,39.955,-120.538,266.2,3.3,0.21,75.9,47.0,0.0,275.8,5.6
43,2018-02-13,39.955,-120.538,264.4,3.1000001,0.37,81.4,28.9,0.0,278.9,4.8
44,2018-02-14,39.955,-120.538,265.7,2.9,0.38,100.0,28.800001,0.0,279.2,5.6
45,2018-02-15,39.955,-120.538,264.3,3.6000001,0.35999998,76.6,28.2,0.0,273.1,4.1
46,2018-02-16,39.955,-120.538,267.2,3.0,0.71,84.5,16.0,0.0,274.4,1.8000001
47,2018-02-17,39.955,-120.538,270.2,3.4,0.61,88.5,27.5,0.0,272.4,4.0
48,2018-02-18,39.955,-120.538,263.1,3.0,0.21,85.6,43.0,1.1,273.6,10.0
49,2018-02-19,39.955,-120.538,258.4,3.4,0.16,100.0,39.7,0.4,277.4,4.2000003
50,2018-02-20,39.955,-120.538,257.7,3.9,0.21,85.3,31.0,0.0,275.4,2.0
51,2018-02-21,39.955,-120.538,260.7,4.0,0.29999998,98.3,27.0,1.3000001,271.9,1.7
52,2018-02-22,39.955,-120.538,260.1,3.7,0.14999999,100.0,44.8,4.0,276.3,5.4
53,2018-02-23,39.955,-120.538,259.2,4.0,0.19999999,79.4,35.100002,0.0,277.1,2.7
54,2018-02-24,39.955,-120.538,261.3,3.7,0.17999999,64.200005,41.9,0.0,275.6,6.0
55,2018-02-25,39.955,-120.538,262.2,4.7000003,0.32,68.6,30.6,0.7,277.7,3.4
56,2018-02-26,39.955,-120.538,262.3,3.4,0.11,85.1,57.2,8.3,275.4,6.2000003
57,2018-02-27,39.955,-120.538,259.4,4.7000003,0.19,79.700005,38.3,0.0,278.1,5.3
58,2018-02-28,39.955,-120.538,260.9,4.2000003,0.22,84.4,38.100002,6.9,277.0,3.9
59,2018-03-01,39.955,-120.538,266.4,3.5,0.049999997,75.9,73.9,32.100002,277.6,10.0
60,2018-03-02,39.955,-120.538,263.0,1.9,0.07,86.200005,66.3,14.1,280.5,7.1
61,2018-03-03,39.955,-120.538,263.9,4.0,0.13,87.9,55.8,5.5,277.6,3.5
62,2018-03-04,39.955,-120.538,262.0,4.0,0.16,82.9,46.600002,1.2,278.9,2.6000001
63,2018-03-05,39.955,-120.538,260.2,3.4,0.31,80.8,30.1,0.0,276.6,3.1000001
64,2018-03-06,39.955,-120.538,264.5,4.3,0.48,93.5,25.0,0.0,278.6,3.6000001
65,2018-03-07,39.955,-120.538,269.5,4.9,0.51,90.0,29.5,1.8000001,277.6,2.7
66,2018-03-08,39.955,-120.538,272.2,2.1000001,0.28,86.5,52.2,1.7,273.5,6.1
67,2018-03-09,39.955,-120.538,271.2,1.9,0.32,82.200005,45.8,0.0,272.5,4.1
68,2018-03-10,39.955,-120.538,270.0,2.0,0.17,86.6,61.0,8.400001,276.7,2.5
69,2018-03-11,39.955,-120.538,270.1,3.8,0.37,83.1,41.7,0.0,279.1,0.8
70,2018-03-12,39.955,-120.538,272.7,3.5,0.45999998,97.6,39.3,4.6,277.9,3.1000001
71,2018-03-13,39.955,-120.538,271.3,4.6,0.08,84.5,72.1,29.1,275.8,5.7000003
72,2018-03-14,39.955,-120.538,268.2,4.9,0.11,75.8,66.8,6.8,277.7,5.6
73,2018-03-15,39.955,-120.538,267.0,1.0,0.08,80.200005,71.9,17.300001,282.2,5.8
74,2018-03-16,39.955,-120.538,267.5,0.90000004,0.13,71.3,63.3,15.5,286.8,4.6
75,2018-03-17,39.955,-120.538,264.0,1.3000001,0.19,82.1,46.0,4.4,289.0,4.0
76,2018-03-18,39.955,-120.538,262.5,1.3000001,0.26,67.5,36.2,0.0,287.9,2.3
77,2018-03-19,39.955,-120.538,266.5,1.3000001,0.42,72.0,28.0,0.0,286.3,2.2
78,2018-03-20,39.955,-120.538,271.3,2.3,0.32,81.9,46.4,20.9,279.0,1.9
79,2018-03-21,39.955,-120.538,274.5,2.4,0.19999999,85.200005,64.8,55.0,280.8,4.3
80,2018-03-22,39.955,-120.538,270.1,2.9,0.02,91.700005,79.1,40.7,276.5,6.6
81,2018-03-23,39.955,-120.538,269.4,3.1000001,0.28,100.0,45.0,2.3,277.9,7.8
82,2018-03-24,39.955,-120.538,267.0,3.0,0.17,93.1,55.0,2.1000001,282.2,6.4
83,2018-03-25,39.955,-120.538,264.8,2.1000001,0.21,80.9,44.5,0.6,280.8,4.9
84,2018-03-26,39.955,-120.538,264.0,2.2,0.32,74.8,32.9,0.0,278.6,4.1
85,2018-03-27,39.955,-120.538,269.3,2.4,0.57,100.0,27.0,0.0,276.5,4.2000003
86,2018-03-28,39.955,-120.538,273.2,2.9,0.64,84.0,31.1,0.0,276.2,3.0
87,2018-03-29,39.955,-120.538,273.2,2.3,0.75,84.9,25.6,0.0,280.5,1.9
88,2018-03-30,39.955,-120.538,274.1,3.0,0.84999996,82.8,23.0,0.0,281.6,1.7
